student_id,hours_studied,attendance_rate,sleep_hours,previous_score,parental_education,extracurricular,gender,passed
1032,8.7,60.1,,38.5,Bachelor,No,M,0
1087,,74.5,7.8,67.6,Master,Yes,Male,0
1064,2.6,76.1,4.2,78.3,HIGH SCHOOL,Yes,Male,0
1348,2.2,109.5,,52.0,None,No,F,1
1272,2.1,73.3,7.3,90.4,Bachelor,No,Male,0
1364,5.8,101.6,5.2,38.8,High School,Yes,Male,0
1082,5.7,75.0,,82.2,Bachelor,no,Female,1
1382,3.8,73.6,5.9,89.2,Bachelor,No,Male,0
1230,6.4,70.7,9.4,92.6,High School,No,Female,1
1010,6.1,70.0,5.8,87.2,High School,Yes,Male,1
1359,5.6,73.4,4.6,69.3,None,No,Female,1
1323,3.4,107.6,6.4,61.6,None,Yes,M,1
1411,6.4,76.3,8.2,91.0,High School,No,Male,0
1461,8.9,87.7,6.3,64.2,Bachelor,No,Female,1
1171,3.2,95.0%,7.5,61.4,MASTER,no,Male,1
1483,1.8,68.4,8.7,55.6,HIGH SCHOOL,Yes,female,0
1328,6.6,73.7,6.3,86.2,BACHELOR,no,male,0
1310,4.6,69.3,7.1,78.4,HIGH SCHOOL,Yes,female,0
1438,2.2,88.5,8.6,72.0,None,No,Female,1
1453,3.0,65.0,6.8,51.4,Bachelor,Yes,Female,0
1052,4.2,78.1,7.0,61.9,High School,no,Female,0
1266,2.5,71.6,4.7,52.4,High School,Yes,female,1
1441,5.8,64.6,7.4,69.6,Master,Yes,male,0
1485,3.5,80.0,6.8,79.3,Master,yes,Male,1
1103,4.3,90.4,9.2,55.3,HIGH SCHOOL,no,F,1
1271,7.9,88.5,7.9,65.7,HIGH SCHOOL,No,Female,0
1019,3.2,81.2,6.1,49.6,HIGH SCHOOL,Yes,f,0
1316,5.0,62.2,4.8,51.6,Bachelor,Yes,M,0
1355,5.0,97.0%,5.8,80.0,High School,No,Female,1
1350,4.6,73.6%,6.2,71.4,High School,No,Female,1
1144,5.4,62.0,6.7,,Bachelor,No,Female,0
1062,4.6,104.9,2.8,53.8,High School,No,Female,1
1394,8.7,94.0,6.7,63.4,Bachelor,No,Female,1
1270,5.3,101.7%,8.1,73.3,High School,Yes,Female,1
1109,5.5,58.7,5.7,69.8,MASTER,No,Male,1
1156,3.6,80.7,7.8,60.6,High School,no,female,0
1459,3.9,86.8,8.2,80.8,None,No,Male,1
1116,5.6,81.6,7.0,112.9,Bachelor,No,Male,0
1434,6.4,53.6,5.7,63.4,High School,No,Female,0
1317,6.4,83.2,,32.7,Bachelor,No,Male,0
1086,4.0,83.0,7.1,75.4,High School,No,M,1
1366,4.2,75.3,6.3,40.1,None,Yes,F,1
1049,5.7,84.5,8.4,76.5,High School,No,Male,1
1192,6.7,93.9%,4.8,57.9,HIGH SCHOOL,no,Female,1
1361,6.0,82.4,6.5,63.0,High School,Yes,Female,0
1340,3.9,77.4,6.7,61.9,BACHELOR,No,F,0
1137,3.4,89.9,,50.7,High School,no,Female,1
1475,8.3,74.6%,5.5,64.7,Bachelor,Yes,female,0
1134,,74.9,7.1,80.4,Master,Yes,Male,0
1362,8.1,61.8,7.3,77.2,High School,Yes,M,0
1498,4.6,87.7,8.1,51.8,Master,Yes,Male,0
1341,3.4,79.4,,63.1,MASTER,yes,F,0
1452,6.9,84.2%,8.7,83.9,None,No,Male,1
